Args got
indir None
outdir /home/ec2-user/ThermoDrift/experiments/trainv5/
Data loaded
ESM1b loaded
Classifier, optimizer, and criterion compiled
Using device cuda:0
Moved tensors to cuda:0
Dataloaders built
Number of parameters classifier:  172419
outputs [[0.3558131158351898, 0.2982425093650818, 0.3459444046020508]]  lables [1]
outputs [[0.35173535346984863, 0.30755487084388733, 0.3407098054885864]]  lables [1]
outputs [[0.3547656536102295, 0.31056317687034607, 0.33467116951942444]]  lables [2]
outputs [[0.35638293623924255, 0.31672340631484985, 0.3268936276435852]]  lables [2]
outputs [[0.35338422656059265, 0.3014545440673828, 0.3451612889766693]]  lables [2]
outputs [[0.35713472962379456, 0.30700594186782837, 0.3358593285083771]]  lables [2]
outputs [[0.33933576941490173, 0.32761427760124207, 0.33305004239082336]]  lables [2]
outputs [[0.3572480380535126, 0.31302693486213684, 0.3297250270843506]]  lables [1]
outputs [[0.35811856389045715, 0.3078610599040985, 0.33402037620544434]]  lables [1]
outputs [[0.3501838743686676, 0.30964934825897217, 0.3401668071746826]]  lables [2]
outputs [[0.3563680052757263, 0.3106875717639923, 0.332944393157959]]  lables [0]
outputs [[0.35293257236480713, 0.32846739888191223, 0.31860002875328064]]  lables [0]
outputs [[0.3585054278373718, 0.30963388085365295, 0.33186066150665283]]  lables [0]
outputs [[0.3422113358974457, 0.32472050189971924, 0.3330681324005127]]  lables [0]
outputs [[0.3566516935825348, 0.3141367435455322, 0.329211562871933]]  lables [0]
outputs [[0.34522947669029236, 0.3200496435165405, 0.3347209095954895]]  lables [1]
outputs [[0.35105276107788086, 0.29484885931015015, 0.3540983498096466]]  lables [1]
outputs [[0.3580273985862732, 0.301249235868454, 0.34072333574295044]]  lables [0]
outputs [[0.3506179749965668, 0.3139783442020416, 0.3354036808013916]]  lables [0]
outputs [[0.3514576852321625, 0.31070610880851746, 0.33783623576164246]]  lables [2]
outputs [[0.3508954644203186, 0.3068960905075073, 0.3422084152698517]]  lables [1]
outputs [[0.35057079792022705, 0.3176422119140625, 0.3317870497703552]]  lables [1]
outputs [[0.35060515999794006, 0.3116450607776642, 0.33774977922439575]]  lables [0]
outputs [[0.34560611844062805, 0.30909574031829834, 0.3452981114387512]]  lables [2]
outputs [[0.350970059633255, 0.3182086944580078, 0.3308212459087372]]  lables [2]
outputs [[0.36421439051628113, 0.3139769434928894, 0.32180869579315186]]  lables [2]
outputs [[0.3494717478752136, 0.32375600934028625, 0.32677218317985535]]  lables [2]
outputs [[0.35612767934799194, 0.31091973185539246, 0.332952618598938]]  lables [1]
outputs [[0.35090652108192444, 0.3216599225997925, 0.32743358612060547]]  lables [2]
outputs [[0.352355033159256, 0.31295961141586304, 0.334685355424881]]  lables [0]
outputs [[0.34750545024871826, 0.3222544491291046, 0.33024007081985474]]  lables [0]
outputs [[0.3577183187007904, 0.30076971650123596, 0.341511994600296]]  lables [1]
outputs [[0.36339032649993896, 0.3128400444984436, 0.32376959919929504]]  lables [0]
outputs [[0.3551720976829529, 0.3088682293891907, 0.33595967292785645]]  lables [1]
outputs [[0.347198486328125, 0.32385772466659546, 0.32894372940063477]]  lables [2]
outputs [[0.35080036520957947, 0.324220210313797, 0.32497939467430115]]  lables [1]
outputs [[0.35263243317604065, 0.2967569828033447, 0.350610613822937]]  lables [2]
outputs [[0.3604353368282318, 0.3056689202785492, 0.33389580249786377]]  lables [0]
outputs [[0.3500094413757324, 0.3168131709098816, 0.333177387714386]]  lables [1]
outputs [[0.35583963990211487, 0.32241979241371155, 0.3217405676841736]]  lables [0]
outputs [[0.35684752464294434, 0.3146008849143982, 0.32855159044265747]]  lables [2]
outputs [[0.3529492914676666, 0.2991141974925995, 0.3479365110397339]]  lables [2]
outputs [[0.3433769941329956, 0.3213226795196533, 0.3353002667427063]]  lables [1]
outputs [[0.34992721676826477, 0.31574809551239014, 0.3343247175216675]]  lables [2]
outputs [[0.352012038230896, 0.3165048360824585, 0.3314831256866455]]  lables [1]
outputs [[0.3443608283996582, 0.3116597533226013, 0.3439793586730957]]  lables [0]
outputs [[0.3415416479110718, 0.31666940450668335, 0.34178900718688965]]  lables [2]
outputs [[0.359995573759079, 0.300286203622818, 0.3397182822227478]]  lables [0]
outputs [[0.34203577041625977, 0.32700449228286743, 0.3309597074985504]]  lables [1]
outputs [[0.3541795015335083, 0.3097769618034363, 0.3360435664653778]]  lables [2]
outputs [[0.35007524490356445, 0.32555127143859863, 0.3243734538555145]]  lables [0]
outputs [[0.35878702998161316, 0.3051559031009674, 0.33605706691741943]]  lables [1]
outputs [[0.35376593470573425, 0.3266766667366028, 0.31955745816230774]]  lables [1]
outputs [[0.34642690420150757, 0.3174806535243988, 0.3360925018787384]]  lables [1]
outputs [[0.3472743630409241, 0.3087861239910126, 0.34393957257270813]]  lables [1]
outputs [[0.35177081823349, 0.319368839263916, 0.328860342502594]]  lables [1]
outputs [[0.35970982909202576, 0.3004911541938782, 0.33979901671409607]]  lables [0]
outputs [[0.351993203163147, 0.3093772530555725, 0.3386295735836029]]  lables [2]
outputs [[0.35694873332977295, 0.31688663363456726, 0.3261646032333374]]  lables [0]
outputs [[0.35925164818763733, 0.3066841959953308, 0.33406418561935425]]  lables [0]
outputs [[0.3491416573524475, 0.3219354450702667, 0.3289228677749634]]  lables [2]
outputs [[0.3545122444629669, 0.31750181317329407, 0.3279859125614166]]  lables [1]
outputs [[0.34996920824050903, 0.3142845034599304, 0.33574625849723816]]  lables [1]
outputs [[0.3497399687767029, 0.32120001316070557, 0.32905998826026917]]  lables [2]
outputs [[0.360871821641922, 0.31587231159210205, 0.32325583696365356]]  lables [0]
outputs [[0.34199047088623047, 0.31785938143730164, 0.3401501476764679]]  lables [2]
outputs [[0.3511016070842743, 0.31351932883262634, 0.33537906408309937]]  lables [2]
outputs [[0.353403776884079, 0.30477383732795715, 0.34182238578796387]]  lables [1]
outputs [[0.3521686792373657, 0.3092586100101471, 0.33857274055480957]]  lables [2]
outputs [[0.35453832149505615, 0.309662401676178, 0.33579927682876587]]  lables [2]
outputs [[0.3511447310447693, 0.31982117891311646, 0.32903409004211426]]  lables [1]
outputs [[0.34501156210899353, 0.3219025731086731, 0.333085834980011]]  lables [1]
outputs [[0.3509272634983063, 0.3267226219177246, 0.3223501145839691]]  lables [2]
outputs [[0.3509415090084076, 0.33535850048065186, 0.31369999051094055]]  lables [1]
outputs [[0.3465660512447357, 0.31780460476875305, 0.33562931418418884]]  lables [1]
outputs [[0.36034253239631653, 0.31860122084617615, 0.32105621695518494]]  lables [0]
outputs [[0.3533506691455841, 0.30693313479423523, 0.3397161662578583]]  lables [0]
outputs [[0.35023584961891174, 0.3129905164241791, 0.3367736041545868]]  lables [2]
outputs [[0.3428575396537781, 0.32081231474876404, 0.3363301455974579]]  lables [0]
outputs [[0.35772812366485596, 0.31895262002944946, 0.3233192563056946]]  lables [0]
outputs [[0.3553248345851898, 0.32021868228912354, 0.32445645332336426]]  lables [0]
outputs [[0.3588399589061737, 0.3088088631629944, 0.3323511779308319]]  lables [1]
outputs [[0.35529059171676636, 0.3102162480354309, 0.33449313044548035]]  lables [2]
outputs [[0.3554520606994629, 0.2998020648956299, 0.3447459042072296]]  lables [2]
outputs [[0.3532504439353943, 0.31524795293807983, 0.33150163292884827]]  lables [1]
outputs [[0.35805389285087585, 0.30826419591903687, 0.3336819112300873]]  lables [1]
outputs [[0.35051512718200684, 0.3060103952884674, 0.34347450733184814]]  lables [0]
outputs [[0.358468621969223, 0.3111725449562073, 0.3303588628768921]]  lables [0]
outputs [[0.3502233028411865, 0.31097081303596497, 0.3388058543205261]]  lables [2]
outputs [[0.3529486656188965, 0.3170475363731384, 0.3300037980079651]]  lables [0]
outputs [[0.3486003279685974, 0.31343311071395874, 0.33796659111976624]]  lables [2]
outputs [[0.350380539894104, 0.3135015070438385, 0.3361178934574127]]  lables [0]
outputs [[0.35689565539360046, 0.3213794529438019, 0.32172486186027527]]  lables [1]
outputs [[0.35134077072143555, 0.3193734288215637, 0.3292858302593231]]  lables [2]
outputs [[0.36067718267440796, 0.3130970895290375, 0.32622575759887695]]  lables [0]
outputs [[0.3495311141014099, 0.31941136717796326, 0.3310575783252716]]  lables [2]
outputs [[0.35148492455482483, 0.3086799681186676, 0.33983516693115234]]  lables [2]
outputs [[0.34148672223091125, 0.32584190368652344, 0.33267131447792053]]  lables [0]
outputs [[0.36851054430007935, 0.31536155939102173, 0.3161279559135437]]  lables [1]
outputs [[0.352906733751297, 0.3131290376186371, 0.3339642286300659]]  lables [2]
outputs [[0.3609050214290619, 0.3102702498435974, 0.3288246989250183]]  lables [1]
outputs [[0.3642764687538147, 0.30657321214675903, 0.32915031909942627]]  lables [2]
outputs [[0.35601112246513367, 0.3111993968486786, 0.33278948068618774]]  lables [0]
outputs [[0.34806767106056213, 0.3089131712913513, 0.34301912784576416]]  lables [1]
outputs [[0.3430268168449402, 0.315030962228775, 0.34194216132164]]  lables [1]
outputs [[0.35717642307281494, 0.3068450093269348, 0.335978627204895]]  lables [2]
outputs [[0.3566795587539673, 0.31165432929992676, 0.3316660523414612]]  lables [2]
outputs [[0.3571234345436096, 0.3108295202255249, 0.33204710483551025]]  lables [0]
outputs [[0.3468349874019623, 0.3144467771053314, 0.3387182354927063]]  lables [0]
outputs [[0.35364750027656555, 0.31665199995040894, 0.3297004997730255]]  lables [2]
outputs [[0.35911113023757935, 0.30621328949928284, 0.3346755802631378]]  lables [2]
outputs [[0.34197479486465454, 0.3219570219516754, 0.33606821298599243]]  lables [2]
outputs [[0.3550092875957489, 0.30368325114250183, 0.34130749106407166]]  lables [2]
outputs [[0.35289356112480164, 0.32114604115486145, 0.3259603977203369]]  lables [1]
outputs [[0.35415124893188477, 0.31712350249290466, 0.3287252187728882]]  lables [0]
outputs [[0.3508884310722351, 0.2976892590522766, 0.35142236948013306]]  lables [2]
outputs [[0.35527223348617554, 0.2995985150337219, 0.3451292812824249]]  lables [0]
outputs [[0.35238558053970337, 0.3035636246204376, 0.3440507650375366]]  lables [0]
outputs [[0.3459448516368866, 0.3160424530506134, 0.3380126655101776]]  lables [2]
outputs [[0.3505435585975647, 0.3241741359233856, 0.32528233528137207]]  lables [1]
outputs [[0.34437474608421326, 0.3179294764995575, 0.337695837020874]]  lables [2]
outputs [[0.35487526655197144, 0.3096981346607208, 0.3354266285896301]]  lables [1]
outputs [[0.35629284381866455, 0.32015061378479004, 0.3235565423965454]]  lables [1]
outputs [[0.35602423548698425, 0.3090663552284241, 0.3349093794822693]]  lables [0]
outputs [[0.34888485074043274, 0.3114248514175415, 0.33969032764434814]]  lables [2]
outputs [[0.35142889618873596, 0.31196433305740356, 0.33660680055618286]]  lables [1]
outputs [[0.348416268825531, 0.31669357419013977, 0.3348901867866516]]  lables [0]
outputs [[0.36135897040367126, 0.31017449498176575, 0.328466534614563]]  lables [0]
outputs [[0.35092371702194214, 0.3156951665878296, 0.3333810865879059]]  lables [2]
outputs [[0.34867143630981445, 0.32209092378616333, 0.3292376697063446]]  lables [0]
outputs [[0.35142019391059875, 0.3115217387676239, 0.33705806732177734]]  lables [1]
outputs [[0.3486116826534271, 0.3145049512386322, 0.3368833065032959]]  lables [1]
outputs [[0.34950366616249084, 0.3258279263973236, 0.32466834783554077]]  lables [2]
outputs [[0.35931867361068726, 0.30317166447639465, 0.3375096321105957]]  lables [0]
outputs [[0.352169007062912, 0.3140498399734497, 0.3337811231613159]]  lables [0]
outputs [[0.3555796146392822, 0.32419708371162415, 0.32022330164909363]]  lables [2]
outputs [[0.3479180335998535, 0.33407965302467346, 0.318002313375473]]  lables [1]
outputs [[0.35881733894348145, 0.3081883490085602, 0.332994282245636]]  lables [2]
outputs [[0.35255667567253113, 0.31636252999305725, 0.33108076453208923]]  lables [2]
outputs [[0.34944891929626465, 0.31126725673675537, 0.3392837941646576]]  lables [2]
outputs [[0.34945106506347656, 0.3243776857852936, 0.3261711895465851]]  lables [1]
outputs [[0.3542269468307495, 0.30875325202941895, 0.33701983094215393]]  lables [2]
outputs [[0.35431769490242004, 0.3137473165988922, 0.33193498849868774]]  lables [2]
outputs [[0.355497270822525, 0.3191398084163666, 0.3253629207611084]]  lables [2]
outputs [[0.35529738664627075, 0.3182549476623535, 0.32644766569137573]]  lables [0]
outputs [[0.3528502583503723, 0.30010414123535156, 0.3470456004142761]]  lables [0]
outputs [[0.35370928049087524, 0.3084826171398163, 0.3378080725669861]]  lables [0]
outputs [[0.3452211022377014, 0.3112271726131439, 0.3435516953468323]]  lables [2]
outputs [[0.3502282500267029, 0.30810976028442383, 0.3416619598865509]]  lables [0]
outputs [[0.3526652753353119, 0.317764014005661, 0.3295707404613495]]  lables [0]
outputs [[0.34674394130706787, 0.3185828626155853, 0.3346731960773468]]  lables [2]
outputs [[0.3438873589038849, 0.31322047114372253, 0.3428921401500702]]  lables [2]
outputs [[0.34745538234710693, 0.3069119453430176, 0.34563273191452026]]  lables [2]
outputs [[0.3602354824542999, 0.31716227531433105, 0.32260218262672424]]  lables [0]
outputs [[0.3534950911998749, 0.3080217242240906, 0.33848318457603455]]  lables [2]
outputs [[0.358663946390152, 0.31186366081237793, 0.3294724225997925]]  lables [1]
outputs [[0.3409382402896881, 0.3272169828414917, 0.3318447768688202]]  lables [0]
outputs [[0.35877713561058044, 0.3088948130607605, 0.33232805132865906]]  lables [0]
outputs [[0.3455005884170532, 0.32548093795776367, 0.3290184438228607]]  lables [1]
outputs [[0.34131425619125366, 0.30060458183288574, 0.358081191778183]]  lables [2]
outputs [[0.35027259588241577, 0.3114906847476959, 0.3382367193698883]]  lables [1]
outputs [[0.34672075510025024, 0.3135068416595459, 0.33977243304252625]]  lables [1]
outputs [[0.3566540777683258, 0.3099999725818634, 0.3333459794521332]]  lables [2]
outputs [[0.34161487221717834, 0.3200241029262543, 0.33836108446121216]]  lables [1]
outputs [[0.35520267486572266, 0.3164553642272949, 0.32834193110466003]]  lables [1]
outputs [[0.34572839736938477, 0.3171026110649109, 0.33716899156570435]]  lables [1]
outputs [[0.3518097996711731, 0.3077526092529297, 0.3404375910758972]]  lables [1]
outputs [[0.3471422791481018, 0.316619336605072, 0.33623838424682617]]  lables [1]
outputs [[0.3520258665084839, 0.31046539545059204, 0.3375087082386017]]  lables [2]
outputs [[0.3591289818286896, 0.30927228927612305, 0.33159881830215454]]  lables [2]
outputs [[0.3507782816886902, 0.3076482117176056, 0.3415735065937042]]  lables [1]
outputs [[0.3483628034591675, 0.3083817958831787, 0.3432554006576538]]  lables [0]
outputs [[0.3595084547996521, 0.31513530015945435, 0.32535621523857117]]  lables [2]
outputs [[0.34987449645996094, 0.3154483437538147, 0.334677129983902]]  lables [2]
outputs [[0.3490840494632721, 0.31086286902427673, 0.34005308151245117]]  lables [2]
outputs [[0.354037880897522, 0.3229266107082367, 0.32303550839424133]]  lables [1]
outputs [[0.35116416215896606, 0.3107075095176697, 0.3381282687187195]]  lables [0]
outputs [[0.3516446352005005, 0.3097509741783142, 0.3386044204235077]]  lables [0]
outputs [[0.3513854146003723, 0.31140395998954773, 0.33721059560775757]]  lables [2]
outputs [[0.35139358043670654, 0.31723836064338684, 0.33136802911758423]]  lables [1]
outputs [[0.3578700125217438, 0.3181537985801697, 0.32397615909576416]]  lables [1]
outputs [[0.347687304019928, 0.31599053740501404, 0.3363221287727356]]  lables [2]
outputs [[0.3556138873100281, 0.30372393131256104, 0.3406621515750885]]  lables [1]
outputs [[0.35340628027915955, 0.3165060579776764, 0.33008766174316406]]  lables [0]
outputs [[0.3515256941318512, 0.31107497215270996, 0.33739933371543884]]  lables [2]
outputs [[0.3541860282421112, 0.3251512050628662, 0.3206627368927002]]  lables [2]
outputs [[0.3531312346458435, 0.2931356132030487, 0.3537331521511078]]  lables [0]
outputs [[0.3546594977378845, 0.3219444155693054, 0.32339611649513245]]  lables [0]
outputs [[0.3560626804828644, 0.30701300501823425, 0.33692431449890137]]  lables [0]
outputs [[0.344991534948349, 0.31700992584228516, 0.33799850940704346]]  lables [1]
outputs [[0.35151755809783936, 0.31240278482437134, 0.33607959747314453]]  lables [1]
outputs [[0.3573338985443115, 0.31051522493362427, 0.33215081691741943]]  lables [2]
outputs [[0.34160178899765015, 0.320784330368042, 0.3376138508319855]]  lables [1]
outputs [[0.3569451570510864, 0.31720706820487976, 0.3258478343486786]]  lables [1]
outputs [[0.36035749316215515, 0.31126371026039124, 0.32837873697280884]]  lables [0]
outputs [[0.3556319773197174, 0.29719147086143494, 0.34717655181884766]]  lables [2]
outputs [[0.35065045952796936, 0.3129355311393738, 0.33641403913497925]]  lables [2]
outputs [[0.3607085645198822, 0.3128179907798767, 0.3264734745025635]]  lables [2]
outputs [[0.35467785596847534, 0.3035946786403656, 0.34172746539115906]]  lables [2]
outputs [[0.34667566418647766, 0.31587445735931396, 0.337449848651886]]  lables [1]
outputs [[0.35623860359191895, 0.30966466665267944, 0.334096759557724]]  lables [0]
outputs [[0.352551132440567, 0.31474512815475464, 0.33270373940467834]]  lables [0]
outputs [[0.35119205713272095, 0.3158166706562042, 0.33299127221107483]]  lables [0]
outputs [[0.3473716974258423, 0.3206981122493744, 0.3319302201271057]]  lables [2]
outputs [[0.3519913852214813, 0.3206126391887665, 0.3273960053920746]]  lables [2]
outputs [[0.3575230538845062, 0.302999347448349, 0.3394775986671448]]  lables [0]
outputs [[0.3578227758407593, 0.3206689655780792, 0.3215082287788391]]  lables [2]
outputs [[0.35047322511672974, 0.3177582621574402, 0.33176854252815247]]  lables [0]
outputs [[0.35300204157829285, 0.30812975764274597, 0.3388681709766388]]  lables [0]
outputs [[0.3588780164718628, 0.3124293088912964, 0.3286926746368408]]  lables [2]
outputs [[0.3566151261329651, 0.3101024329662323, 0.3332824409008026]]  lables [2]
outputs [[0.35076114535331726, 0.313029021024704, 0.33620983362197876]]  lables [0]
outputs [[0.3476014733314514, 0.31149977445602417, 0.3408987522125244]]  lables [0]
outputs [[0.3586231470108032, 0.31899815797805786, 0.32237866520881653]]  lables [2]
outputs [[0.3515932857990265, 0.3151310682296753, 0.33327561616897583]]  lables [0]
Train - epoch: 0 batch: 90 loss: 1.080463171005249
outputs [[0.35942667722702026, 0.3185403645038605, 0.3220329284667969]]  lables [1]
outputs [[0.34847491979599, 0.3334328234195709, 0.3180922567844391]]  lables [0]
outputs [[0.357129842042923, 0.31376156210899353, 0.3291085958480835]]  lables [0]
outputs [[0.366672158241272, 0.3083431124687195, 0.3249847888946533]]  lables [0]
outputs [[0.3450191915035248, 0.31001338362693787, 0.34496745467185974]]  lables [2]
outputs [[0.35312148928642273, 0.3026764392852783, 0.34420207142829895]]  lables [2]
outputs [[0.35996586084365845, 0.31319522857666016, 0.3268389105796814]]  lables [0]
outputs [[0.3582002818584442, 0.31649070978164673, 0.32530906796455383]]  lables [1]
outputs [[0.349987268447876, 0.31618884205818176, 0.33382394909858704]]  lables [2]
outputs [[0.36078155040740967, 0.31194183230400085, 0.3272765874862671]]  lables [0]
outputs [[0.345210999250412, 0.320027232170105, 0.33476176857948303]]  lables [0]
outputs [[0.34504374861717224, 0.31756791472435, 0.3373883366584778]]  lables [0]
outputs [[0.3496987521648407, 0.31333887577056885, 0.33696237206459045]]  lables [1]
outputs [[0.35375794768333435, 0.3099130392074585, 0.33632904291152954]]  lables [2]
outputs [[0.346379816532135, 0.32171308994293213, 0.33190712332725525]]  lables [2]
outputs [[0.351089209318161, 0.31936416029930115, 0.32954663038253784]]  lables [1]
outputs [[0.35519587993621826, 0.3119623363018036, 0.33284181356430054]]  lables [2]
outputs [[0.35475340485572815, 0.3015958368778229, 0.34365081787109375]]  lables [0]
outputs [[0.3464365601539612, 0.3047829866409302, 0.34878042340278625]]  lables [2]
outputs [[0.3593098223209381, 0.3065634071826935, 0.3341267704963684]]  lables [2]
outputs [[0.34798821806907654, 0.31336671113967896, 0.33864501118659973]]  lables [0]
outputs [[0.3477216064929962, 0.3033435344696045, 0.3489348888397217]]  lables [1]
outputs [[0.3410419225692749, 0.3140403926372528, 0.3449177145957947]]  lables [2]
outputs [[0.35074684023857117, 0.3168540894985199, 0.3323991298675537]]  lables [2]
outputs [[0.3514350950717926, 0.30763959884643555, 0.34092527627944946]]  lables [2]
outputs [[0.35321858525276184, 0.2963825762271881, 0.35039880871772766]]  lables [0]
outputs [[0.3531334400177002, 0.3123679459095001, 0.33449864387512207]]  lables [1]
outputs [[0.34909510612487793, 0.31257253885269165, 0.3383323848247528]]  lables [0]
outputs [[0.3491910398006439, 0.3118286430835724, 0.3389803469181061]]  lables [2]
outputs [[0.3522610366344452, 0.31598344445228577, 0.3317555785179138]]  lables [2]
outputs [[0.3499491810798645, 0.30762821435928345, 0.3424225449562073]]  lables [0]
outputs [[0.35345378518104553, 0.3194340467453003, 0.32711219787597656]]  lables [0]
outputs [[0.35119545459747314, 0.32611769437789917, 0.3226868212223053]]  lables [2]
outputs [[0.35237008333206177, 0.3099115788936615, 0.3377183675765991]]  lables [2]
outputs [[0.36062440276145935, 0.3076924681663513, 0.3316831886768341]]  lables [0]
outputs [[0.3483901619911194, 0.30119699239730835, 0.35041284561157227]]  lables [0]
outputs [[0.34674984216690063, 0.32486605644226074, 0.3283841013908386]]  lables [1]
outputs [[0.3554931879043579, 0.3131955564022064, 0.33131128549575806]]  lables [2]
outputs [[0.347281813621521, 0.3109101355075836, 0.3418080806732178]]  lables [2]
outputs [[0.3413334786891937, 0.321756511926651, 0.3369100093841553]]  lables [1]
outputs [[0.3497147560119629, 0.31070664525032043, 0.3395785987377167]]  lables [0]
outputs [[0.34670689702033997, 0.311493456363678, 0.3417995870113373]]  lables [1]
outputs [[0.35479867458343506, 0.31586843729019165, 0.3293328881263733]]  lables [0]
outputs [[0.34371811151504517, 0.31518590450286865, 0.3410959839820862]]  lables [1]
outputs [[0.3503188490867615, 0.3094237148761749, 0.3402574360370636]]  lables [1]
outputs [[0.3462578356266022, 0.31804341077804565, 0.3356987237930298]]  lables [2]
outputs [[0.3548933267593384, 0.31780192255973816, 0.3273046910762787]]  lables [0]
outputs [[0.35594213008880615, 0.3151633143424988, 0.3288945257663727]]  lables [2]
outputs [[0.3550987243652344, 0.31101852655410767, 0.33388271927833557]]  lables [1]
outputs [[0.3422240912914276, 0.32684653997421265, 0.33092939853668213]]  lables [1]
outputs [[0.34563490748405457, 0.3138866126537323, 0.3404785096645355]]  lables [2]
outputs [[0.35527318716049194, 0.3038938045501709, 0.34083300828933716]]  lables [1]
outputs [[0.3473895490169525, 0.3201557993888855, 0.3324545919895172]]  lables [2]
outputs [[0.35955145955085754, 0.31024694442749023, 0.33020156621932983]]  lables [0]
outputs [[0.3548054099082947, 0.30416053533554077, 0.34103402495384216]]  lables [0]
outputs [[0.35376089811325073, 0.3202533423900604, 0.32598569989204407]]  lables [2]
outputs [[0.34643903374671936, 0.3100110590457916, 0.3435498774051666]]  lables [0]
outputs [[0.36258572340011597, 0.3175602853298187, 0.3198540210723877]]  lables [2]
outputs [[0.35002410411834717, 0.31396612524986267, 0.3360097110271454]]  lables [0]
outputs [[0.3450458347797394, 0.3170939087867737, 0.3378602862358093]]  lables [0]
outputs [[0.35206857323646545, 0.31524425745010376, 0.3326871693134308]]  lables [2]
outputs [[0.3555465042591095, 0.31294897198677063, 0.3315045237541199]]  lables [1]
outputs [[0.36266058683395386, 0.3093891441822052, 0.32795023918151855]]  lables [0]
outputs [[0.35548579692840576, 0.3067459762096405, 0.33776819705963135]]  lables [2]
outputs [[0.34959304332733154, 0.31529590487480164, 0.33511102199554443]]  lables [1]
outputs [[0.3550592362880707, 0.30925896763801575, 0.3356817960739136]]  lables [2]
outputs [[0.35479187965393066, 0.30769625306129456, 0.3375118374824524]]  lables [2]
outputs [[0.35734203457832336, 0.30973654985427856, 0.33292144536972046]]  lables [2]
outputs [[0.35152149200439453, 0.3157261312007904, 0.3327523171901703]]  lables [1]
outputs [[0.35512059926986694, 0.3108237683773041, 0.334055632352829]]  lables [2]
outputs [[0.35875204205513, 0.31194159388542175, 0.32930636405944824]]  lables [2]
outputs [[0.34904342889785767, 0.31989189982414246, 0.3310646712779999]]  lables [1]
outputs [[0.3583574593067169, 0.3019919991493225, 0.33965057134628296]]  lables [1]
outputs [[0.34473803639411926, 0.325996458530426, 0.3292654752731323]]  lables [1]
outputs [[0.36195629835128784, 0.3068001866340637, 0.3312435448169708]]  lables [0]
outputs [[0.34980615973472595, 0.3160737156867981, 0.3341200649738312]]  lables [1]
outputs [[0.35733678936958313, 0.3187767267227173, 0.32388654351234436]]  lables [0]
outputs [[0.34571754932403564, 0.31948980689048767, 0.3347926437854767]]  lables [2]
outputs [[0.35606393218040466, 0.31800469756126404, 0.3259313702583313]]  lables [2]
outputs [[0.35351723432540894, 0.30624154210090637, 0.3402412533760071]]  lables [2]
outputs [[0.3432820439338684, 0.32876867055892944, 0.32794928550720215]]  lables [0]
outputs [[0.35504910349845886, 0.32872769236564636, 0.31622323393821716]]  lables [0]
outputs [[0.3546155095100403, 0.30113452672958374, 0.344249963760376]]  lables [0]
outputs [[0.34836146235466003, 0.31619951128959656, 0.3354390561580658]]  lables [2]
outputs [[0.3480037450790405, 0.3203900456428528, 0.3316062092781067]]  lables [1]
outputs [[0.3594985008239746, 0.3097660541534424, 0.330735445022583]]  lables [0]
outputs [[0.35375362634658813, 0.306357741355896, 0.33988863229751587]]  lables [1]
outputs [[0.3445657193660736, 0.3191336393356323, 0.33630064129829407]]  lables [1]
outputs [[0.35906559228897095, 0.3080974221229553, 0.33283698558807373]]  lables [2]
outputs [[0.36346808075904846, 0.3123081922531128, 0.32422372698783875]]  lables [0]
outputs [[0.3454512655735016, 0.31847453117370605, 0.3360741436481476]]  lables [2]
outputs [[0.3555161952972412, 0.3137018084526062, 0.3307819962501526]]  lables [1]
outputs [[0.3495258688926697, 0.3128434121608734, 0.3376307785511017]]  lables [2]
outputs [[0.34824705123901367, 0.3224726915359497, 0.329280287027359]]  lables [1]
outputs [[0.35038843750953674, 0.31039974093437195, 0.3392117917537689]]  lables [2]
outputs [[0.3459928631782532, 0.3270081579685211, 0.3269989490509033]]  lables [1]
outputs [[0.3503043055534363, 0.322604238986969, 0.3270915448665619]]  lables [1]
outputs [[0.3474877178668976, 0.30787530541419983, 0.3446369469165802]]  lables [0]
outputs [[0.35080260038375854, 0.31950831413269043, 0.329689085483551]]  lables [2]
outputs [[0.3477560579776764, 0.3138761818408966, 0.338367760181427]]  lables [1]
outputs [[0.3589381277561188, 0.31038612127304077, 0.33067575097084045]]  lables [0]
outputs [[0.3367098271846771, 0.3146285116672516, 0.3486616909503937]]  lables [1]
outputs [[0.3458908796310425, 0.3139076828956604, 0.34020140767097473]]  lables [0]
outputs [[0.355680912733078, 0.29848137497901917, 0.34583771228790283]]  lables [0]
outputs [[0.35521671175956726, 0.3189317286014557, 0.32585152983665466]]  lables [2]
outputs [[0.35259369015693665, 0.3198522627353668, 0.32755404710769653]]  lables [0]
outputs [[0.3530002534389496, 0.30977723002433777, 0.33722254633903503]]  lables [0]
outputs [[0.35654646158218384, 0.30727848410606384, 0.3361750841140747]]  lables [0]
outputs [[0.35675886273384094, 0.3154716193675995, 0.3277694880962372]]  lables [1]
outputs [[0.3408605456352234, 0.3092164695262909, 0.34992295503616333]]  lables [1]
outputs [[0.35263463854789734, 0.32375264167785645, 0.32361268997192383]]  lables [2]
outputs [[0.3490370810031891, 0.32065844535827637, 0.33030441403388977]]  lables [0]
outputs [[0.35602203011512756, 0.31804922223091125, 0.32592880725860596]]  lables [1]
outputs [[0.35159018635749817, 0.3170114755630493, 0.3313983082771301]]  lables [2]
outputs [[0.35645681619644165, 0.3227815628051758, 0.32076165080070496]]  lables [1]
outputs [[0.3586912453174591, 0.30862176418304443, 0.33268699049949646]]  lables [0]
